Category,Quantity,References,Value,Part
Capacitors,1,C1,10uF,C2012X7R1A106K125AC
Capacitors,5,"C2,C5-C8",4.7uF,C2012X5R1A475K125AA
Capacitors,3,"C3-C4,C9",0.1uF,C1608X8R1E104M080AA
Resistors,10,"R1-R7,R12-R14",1k,RC0805JR-071KL
Resistors,1,R8,22.1K,RC0805FR-0722K1L
Resistors,1,R9,47.5K,RC0805FR-0747K5L
Resistors,2,"R11,R18",2k,RC0805JR-072KL
Resistors,1,R15,100k,RC0805JR-07100KL
Resistors,2,R16-R17,270R,RC0805JR-07270RL
Resistors,1,R19,10k,RC0805JR-0710KL
Integrated Circuits,1,U1,ESP32-WROVER-B__16MB_,ESP32-WROVER-B__16MB_
Integrated Circuits,1,U2,MCP73833T-AMI_UN,MCP73833T-AMI_UN
Integrated Circuits,1,U3,CP2102N-A02-GQFN24R,CP2102N-A02-GQFN24R
Integrated Circuits,1,U4,AP7361C-33E-13,AP7361C-33E-13
Transistors,1,Q1,DMP1045U-7,DMP1045U-7
Transistors,1,Q2,UMH3N,UMH3N
Diodes,4,"D1,D3,D9-D10",BLUE,LED-B-CLEAR-0805
Diodes,2,"D2,D5",YELLOW,LED-Y-DIFF-0805
Diodes,4,"D4,D6-D7,D13",GREEN,LED-G-DIFF-0805
Diodes,1,D8,SP0503BAHTG,SP0503BAHTG
Diodes,1,D11,10V 1A,MBRM110LT1G
Diodes,1,D12,RED,LED-R-DIFF-0805
Diodes,1,D14,BLUE,LED-B-DIFF-0805
Miscellaneous,1,J1,JST PH-2,S2B-PH-SM4-TB_LF__SN_
Miscellaneous,1,J2,1981568-1,1981568-1
Miscellaneous,1,J3,CONN-SIL8,CONN-SIL8
Miscellaneous,4,MP1-MP4,970060244,970060244
Miscellaneous,4,MP5-MP8,MPMS 002 0005 PH,MPMS 002 0005 PH
Miscellaneous,1,RT1,15k,NTCG203NH153JT1
Miscellaneous,1,SW1,PTS526_SM15_SMTR2_LFS,PTS526_SM15_SMTR2_LFS
